iter	Passed	Remaining
445	1166	1449
446	1168	1446
447	1171	1443
448	1173	1439
449	1175	1437
450	1177	1433
451	1180	1431
452	1182	1428
453	1185	1425
454	1187	1422
455	1189	1419
456	1191	1416
457	1194	1413
458	1196	1410
459	1198	1407
460	1201	1404
461	1204	1402
462	1206	1399
463	1209	1397
464	1212	1394
465	1214	1391
466	1216	1388
467	1218	1385
468	1220	1382
469	1223	1379
470	1225	1376
471	1227	1373
472	1229	1370
473	1232	1367
474	1234	1364
475	1236	1361
476	1238	1358
477	1241	1355
478	1243	1352
479	1245	1349
480	1248	1347
481	1250	1344
482	1253	1341
483	1255	1338
484	1257	1335
485	1260	1332
486	1262	1329
487	1264	1326
488	1266	1323
489	1268	1320
490	1271	1317
491	1273	1314
492	1275	1312
493	1278	1309
494	1280	1306
495	1282	1302
496	1284	1299
497	1286	1296
498	1288	1293
499	1290	1290
500	1292	1287
501	1295	1284
502	1297	1281
503	1299	1278
504	1302	1276
505	1304	1273
506	1306	1270
507	1309	1267
508	1311	1264
509	1313	1262
510	1316	1259
511	1318	1256
512	1320	1254
513	1323	1251
514	1325	1248
515	1328	1245
516	1330	1242
517	1332	1239
518	1334	1237
519	1337	1234
520	1339	1231
521	1341	1228
522	1343	1225
523	1346	1222
524	1348	1220
525	1350	1217
526	1353	1214
527	1355	1211
528	1358	1209
529	1361	1207
530	1363	1204
531	1365	1201
532	1368	1198
533	1370	1196
534	1372	1193
535	1375	1191
536	1378	1188
537	1380	1185
538	1383	1183
539	1385	1180
540	1388	1178
541	1390	1175
542	1393	1172
543	1395	1169
544	1398	1167
545	1400	1164
546	1402	1161
547	1405	1159
548	1407	1156
549	1410	1153
550	1413	1151
551	1415	1148
552	1418	1146
553	1421	1144
554	1424	1142
555	1426	1139
556	1429	1136
557	1431	1133
558	1434	1131
559	1436	1128
560	1439	1126
561	1441	1123
562	1443	1120
563	1446	1118
564	1449	1116
565	1452	1113
566	1454	1110
567	1457	1108
568	1460	1106
569	1463	1103
570	1465	1101
571	1468	1098
572	1470	1095
573	1473	1093
574	1475	1090
575	1478	1088
576	1480	1085
577	1482	1082
578	1485	1080
579	1487	1077
580	1490	1074
581	1492	1072
582	1495	1069
583	1497	1066
584	1499	1063
585	1502	1061
586	1504	1058
587	1507	1056
588	1509	1053
589	1512	1050
590	1514	1048
591	1517	1045
592	1519	1043
593	1522	1040
594	1525	1038
595	1528	1035
596	1530	1033
597	1533	1030
598	1536	1028
599	1538	1025
600	1541	1023
601	1543	1020
602	1546	1017
603	1548	1015
604	1551	1013
605	1554	1010
606	1556	1007
607	1558	1005
608	1561	1002
609	1563	999
610	1566	997
611	1569	994
612	1571	992
613	1574	989
614	1576	986
615	1579	984
616	1581	981
617	1584	979
618	1586	976
619	1588	973
620	1590	970
621	1593	968
622	1595	965
623	1597	962
624	1600	960
625	1602	957
626	1604	954
627	1607	951
628	1609	949
629	1612	947
630	1614	944
631	1617	941
632	1619	939
633	1621	936
634	1624	933
635	1626	931
636	1628	928
637	1630	925
638	1633	922
639	1635	919
640	1637	917
641	1640	914
642	1642	911
643	1644	909
644	1647	906
645	1650	904
646	1652	901
647	1654	898
648	1657	896
649	1659	893
650	1661	890
651	1663	887
652	1665	885
653	1667	882
654	1669	879
655	1671	876
656	1673	873
657	1676	871
658	1678	868
659	1680	865
660	1681	862
661	1684	859
662	1686	857
663	1688	854
664	1690	851
665	1692	848
666	1694	845
667	1696	843
668	1698	840
669	1700	837
670	1703	835
671	1705	832
672	1707	829
673	1709	826
674	1711	823
675	1713	821
676	1715	818
677	1717	815
678	1719	812
679	1721	810
680	1723	807
681	1726	804
682	1728	802
683	1730	799
684	1732	796
685	1734	794
686	1737	791
687	1739	788
688	1741	786
689	1744	783
690	1746	780
691	1748	778
692	1751	775
693	1753	773
694	1755	770
695	1758	768
696	1761	765
697	1763	762
698	1765	760
699	1767	757
700	1769	754
701	1771	752
702	1774	749
703	1776	747
704	1779	744
705	1782	742
706	1785	739
707	1788	737
708	1792	735
709	1795	733
710	1799	731
711	1802	728
712	1804	726
713	1807	724
714	1810	721
715	1813	719
716	1816	716
717	1819	714
718	1822	712
719	1825	709
720	1828	707
721	1832	705
722	1834	702
723	1837	700
724	1841	698
725	1844	696
726	1847	693
727	1850	691
728	1853	688
729	1856	686
730	1858	684
731	1862	681
732	1865	679
733	1867	676
734	1869	674
735	1872	671
736	1874	669
737	1877	666
738	1880	664
739	1882	661
740	1884	658
741	1887	656
742	1889	653
743	1891	650
744	1894	648
745	1896	645
746	1898	643
747	1900	640
748	1902	637
749	1905	635
750	1907	632
751	1909	629
752	1911	627
753	1914	624
754	1916	621
755	1918	619
756	1920	616
757	1923	613
758	1925	611
759	1927	608
760	1929	605
761	1931	603
762	1933	600
763	1935	598
764	1938	595
765	1940	592
766	1942	590
767	1945	587
768	1947	584
769	1949	582
770	1951	579
771	1953	577
772	1956	574
773	1958	571
774	1960	569
775	1962	566
776	1965	563
777	1967	561
778	1969	558
779	1971	556
780	1973	553
781	1975	550
782	1978	548
783	1980	545
784	1982	543
785	1985	540
786	1987	537
